iter	Accuracy	Logloss
0	0.8202247191	0.659253262
1	0.8061797753	0.6306445989
2	0.8230337079	0.6024952838
3	0.7921348315	0.5837942644
4	0.7893258427	0.5682968981
5	0.7893258427	0.5528653822
6	0.7963483146	0.5393265814
7	0.7893258427	0.5278617129
8	0.7921348315	0.5153291028
9	0.8033707865	0.502010397
10	0.808988764	0.4892825517
11	0.8202247191	0.4799924065
12	0.8202247191	0.4716229458
13	0.8188202247	0.4685711147
14	0.8230337079	0.4602857707
15	0.8286516854	0.4532442628
16	0.8300561798	0.4466557511
17	0.8300561798	0.4421798326
18	0.8342696629	0.4367561697
19	0.8342696629	0.4319076691
20	0.8356741573	0.4281301966
21	0.8426966292	0.4232824931
22	0.8441011236	0.4198056898
23	0.8441011236	0.4163603589
24	0.8441011236	0.4121678758
25	0.8441011236	0.4093227748
26	0.8441011236	0.4062535024
27	0.8469101124	0.4028041454
28	0.8511235955	0.4007577286
29	0.8483146067	0.3979705782
30	0.8483146067	0.3948490811
31	0.8497191011	0.3926369649
32	0.8511235955	0.3904683959
33	0.8497191011	0.3882694431
34	0.8511235955	0.3861212522
35	0.8497191011	0.3835499369
36	0.8511235955	0.3821055987
37	0.8511235955	0.3801435008
38	0.8525280899	0.378281505
39	0.8525280899	0.3762575483
40	0.8525280899	0.3740088326
41	0.8539325843	0.3726405734
42	0.8553370787	0.3706453617
43	0.8553370787	0.3690508834
44	0.8539325843	0.3678118744
45	0.8539325843	0.3661376368
46	0.856741573	0.3652958798
47	0.8553370787	0.3629964805
48	0.856741573	0.3616501034
49	0.856741573	0.3609413447
