iter	Passed	Remaining
0	11	11012
1	30	15341
2	48	16134
3	69	17215
4	82	16336
5	102	16915
6	123	17464
7	144	17886
8	164	18116
9	186	18502
10	206	18535
11	228	18823
12	249	18921
13	269	18964
14	280	18406
15	287	17665
16	313	18129
17	334	18257
18	350	18122
19	369	18119
20	388	18127
21	408	18149
22	427	18176
23	443	18047
24	459	17934
25	479	17954
26	490	17668
27	510	17721
28	530	17747
29	549	17768
30	571	17874
31	590	17873
32	607	17812
33	630	17913
34	651	17952
35	677	18138
36	697	18143
37	716	18129
38	737	18177
39	757	18174
40	776	18165
41	795	18148
42	814	18135
43	833	18116
44	849	18029
45	870	18044
46	888	18020
47	907	17998
48	927	17998
49	947	18006
50	967	17996
51	986	17977
52	1005	17961
53	1025	17972
54	1046	17975
55	1065	17959
56	1084	17941
57	1104	17934
58	1113	17763
59	1135	17785
60	1154	17766
61	1167	17658
62	1174	17468
63	1194	17462
