iter	MultiClass
0	1.993998321
1	1.781329394
2	1.62844956
3	1.501773674
4	1.409044218
5	1.323417794
6	1.244743645
7	1.170919739
8	1.10992598
9	1.055268344
10	1.001359179
11	0.9530009962
12	0.904583763
13	0.864909571
14	0.825228688
15	0.7861064264
16	0.7554214279
17	0.7288464802
18	0.703076764
19	0.6780083962
20	0.6561002768
21	0.6339560082
22	0.6133763849
23	0.5938375868
24	0.5732305554
25	0.56103457
26	0.5461758923
27	0.5318259766
28	0.5167191206
29	0.5025812215
30	0.4905506196
31	0.4820918407
32	0.471938648
33	0.4600835827
34	0.4485891028
35	0.4377490062
36	0.4286382455
37	0.4204024132
38	0.4135219675
39	0.4063443362
40	0.3990190615
41	0.3944129096
42	0.3845332121
43	0.378584663
44	0.3720974854
45	0.364299835
46	0.3563262267
47	0.3504924138
48	0.3443656109
49	0.3385679119
50	0.3335628836
51	0.3281605608
52	0.3231947676
53	0.3184082436
54	0.3150809323
55	0.3094717334
56	0.3046662906
57	0.3016149412
58	0.2964581783
59	0.2924374121
60	0.2893171292
61	0.2857990993
62	0.2812228255
63	0.2777129571
64	0.2746465503
65	0.2704815873
66	0.2677595267
67	0.2651215004
68	0.2621153561
69	0.260055979
70	0.2581879662
71	0.2557796052
72	0.2528452156
73	0.2496373679
74	0.2469620982
75	0.244090635
76	0.2424587118
77	0.2398018231
78	0.2376171754
79	0.2350321746
80	0.2328694213
81	0.2304987008
82	0.2287227461
83	0.2273348407
84	0.2259050364
85	0.2232303069
86	0.221703653
87	0.2196317497
88	0.217633499
89	0.2164053896
90	0.2153657209
91	0.2136392208
92	0.2120264132
93	0.2099737475
94	0.2085552699
95	0.2069007574
96	0.2053167671
97	0.2028302273
98	0.2007113178
99	0.1995802006
100	0.1978026135
101	0.197205635
102	0.196161312
103	0.1944887951
104	0.1925677621
105	0.191057861
106	0.1899366234
107	0.189433745
108	0.1885266741
109	0.1875272061
110	0.1853940189
111	0.1839739573
112	0.1833718409
113	0.1819283083
114	0.1810091214
115	0.1801124572
116	0.1791594808
117	0.1786689946
118	0.1770591332
119	0.1763707702
120	0.1752679121
