iter	RMSE
0	0.3883394491
1	0.3811937498
2	0.3740843729
3	0.3668353986
4	0.359598876
5	0.3529918442
6	0.3458580425
7	0.3393097135
8	0.3333561123
9	0.327149562
10	0.3217344425
11	0.3164514275
12	0.3112542145
13	0.3060548105
14	0.3006473067
15	0.2953603475
16	0.2908307841
17	0.2862317791
18	0.2822397675
19	0.2781572164
20	0.2738505202
21	0.2696256288
22	0.2655269016
23	0.2617533968
24	0.25787442
25	0.2544561703
26	0.2512851679
27	0.2477345932
28	0.2443812138
29	0.2409138221
30	0.2373125268
31	0.2343512725
32	0.2316497414
33	0.2290512849
34	0.2263562107
35	0.2240460667
36	0.2213702894
37	0.2189839156
38	0.2164313756
39	0.2138595947
40	0.2117093545
41	0.2096647446
42	0.2075537035
43	0.2052894218
44	0.2031080792
45	0.2013695525
46	0.1992590253
47	0.1975017299
48	0.1956998739
49	0.1938681585
50	0.1923337686
51	0.1907307429
52	0.189239432
53	0.18775134
54	0.1860597671
55	0.1847151456
56	0.1830976644
57	0.181748988
58	0.1803769741
59	0.1791791995
60	0.1778920532
61	0.1764551912
62	0.1754439969
63	0.174330265
64	0.1731896745
65	0.172221456
66	0.1711104438
67	0.1698377425
68	0.1687911631
69	0.1676638151
70	0.1666485335
71	0.165625043
72	0.1646710495
73	0.1639473377
74	0.1629188416
75	0.162017926
76	0.1612525162
77	0.1603735528
78	0.1593776196
79	0.1585758711
80	0.1578183684
81	0.1569552138
82	0.156045872
83	0.1554084854
84	0.1548478912
85	0.1541414208
86	0.1534604455
87	0.1528691439
88	0.1523193198
89	0.1517301448
90	0.151106315
91	0.1505945157
92	0.149952774
93	0.1495240283
94	0.148941069
95	0.1483884866
96	0.1479435646
97	0.1475226293
98	0.147085894
99	0.146649186
100	0.1462474938
101	0.1457917778
102	0.1453846802
103	0.1449340685
104	0.144533826
105	0.1441068707
106	0.1437113996
107	0.1432852914
108	0.1430053076
109	0.1426126187
110	0.142307319
111	0.1420733355
112	0.1417238499
113	0.1414133267
114	0.1411567094
115	0.1408959089
116	0.1405484493
117	0.1402543241
118	0.1399084857
119	0.1395953829
120	0.1391921695
121	0.1388888146
122	0.1386106589
123	0.1381553313
124	0.1379660451
125	0.1377154138
126	0.1375266984
127	0.1372530897
128	0.1369297667
129	0.1367027564
130	0.136495377
131	0.1362495732
132	0.1360731503
133	0.1358036225
134	0.1356527912
135	0.1353266574
136	0.1351357233
137	0.1349040648
138	0.1346990442
139	0.1345122974
140	0.1342743344
141	0.1340992706
142	0.1338261843
143	0.1336278894
144	0.1334123816
145	0.1333423805
146	0.1331420821
147	0.1328975524
148	0.1327389415
149	0.1325164134
150	0.1322845665
151	0.1320520986
152	0.1317886305
153	0.1316314457
154	0.1315157866
155	0.1313960579
156	0.1312838621
157	0.1311324059
158	0.1310023299
159	0.1308640448
160	0.1307491046
161	0.1306860532
162	0.1305312072
163	0.13034172
164	0.1302182572
165	0.1300145211
166	0.129915445
167	0.1297646447
168	0.1295388582
169	0.1293881937
170	0.1293002134
171	0.1291842902
172	0.129055985
173	0.1289032768
174	0.1288108499
175	0.128635652
176	0.128546451
177	0.1284390489
178	0.1283799332
179	0.1282263968
180	0.1281734376
181	0.1280200144
182	0.1279211476
183	0.1278227657
184	0.1277143629
185	0.127583049
186	0.1274900097
187	0.1273944812
188	0.1272759911
189	0.1271638346
190	0.1270317451
191	0.1269496612
192	0.1267642622
193	0.1266633308
194	0.1265307204
195	0.1264712545
196	0.1263553023
197	0.1263000732
198	0.126262964
199	0.1261590789
200	0.12604334
201	0.1259291373
202	0.1258506791
203	0.1257505596
204	0.1256475897
205	0.1255784114
206	0.1254539574
207	0.12532422
208	0.1251874868
209	0.1250431429
210	0.1249766521
211	0.1249159562
212	0.1247505372
213	0.1246275735
214	0.124560971
215	0.1244496109
216	0.1244130984
217	0.1243027109
218	0.1242108443
219	0.1240067996
220	0.1239597597
221	0.1239012293
222	0.123818591
223	0.123676645
224	0.1235919086
225	0.1234572284
226	0.1233892273
227	0.1232491305
228	0.1231271587
229	0.1229797394
230	0.1229204273
231	0.1228275478
232	0.1227683658
233	0.1227504602
234	0.1226927498
235	0.1226419103
236	0.1225740637
237	0.1224853016
238	0.1223351985
239	0.1221478397
240	0.1221233746
241	0.1220100227
242	0.1219259365
243	0.1219084402
244	0.1217458704
245	0.1216503515
246	0.1215996737
247	0.1214727523
248	0.1213653916
249	0.1212491584
250	0.1211807435
251	0.1211534323
252	0.1210240879
253	0.120985001
254	0.1208797687
255	0.1208427715
256	0.1206830795
257	0.1206340216
258	0.1206101265
259	0.1204914434
260	0.1204165198
261	0.1202374234
262	0.1201775123
263	0.1201368236
264	0.1200139243
265	0.1199457351
266	0.119824953
267	0.1197864622
268	0.1197321742
269	0.1196574039
270	0.1195841808
271	0.1194718639
272	0.1192991177
273	0.1192450535
274	0.1191511069
275	0.1190736684
276	0.1190289478
277	0.1189850379
278	0.1189419522
279	0.1188710467
280	0.1187969693
281	0.1187528627
282	0.1186813068
283	0.1186210135
284	0.1185187849
285	0.1184731921
286	0.1183732704
287	0.118284258
288	0.1181763608
289	0.1180349349
290	0.1180243301
291	0.1179875349
292	0.117950432
293	0.1178542325
294	0.1178173816
295	0.1177522512
296	0.1176339279
297	0.1175822114
298	0.1175727915
299	0.1175365003
300	0.1173601932
301	0.1173235436
302	0.1172627529
303	0.1171610129
304	0.1171259332
305	0.1169842418
306	0.1169552196
307	0.1168981437
308	0.116851991
309	0.1167107007
310	0.1166665144
311	0.116644679
312	0.1165445642
313	0.1164607747
314	0.1164292266
315	0.1163612838
316	0.1162423078
317	0.1162014721
318	0.1161476367
319	0.1161266773
320	0.1161228102
321	0.1161042599
322	0.1159994642
323	0.1159783253
324	0.1159654079
325	0.1158493138
326	0.1157747388
327	0.115722006
328	0.1156861992
329	0.1156732012
330	0.1156399462
331	0.1156166335
332	0.1155915957
333	0.1155231941
334	0.1153969516
335	0.1153384807
336	0.1152299802
337	0.115166913
338	0.1151221037
339	0.1151014066
340	0.1149939201
341	0.1149815559
342	0.1148987985
343	0.1148334483
344	0.1147888602
345	0.1147245619
346	0.1146993427
347	0.1146394818
348	0.1145806126
349	0.1145197325
350	0.1144061834
351	0.1143457648
352	0.1142310744
353	0.1141868205
354	0.1141253646
355	0.1140255088
356	0.1139672186
357	0.1139057832
358	0.1138614177
359	0.1138278075
360	0.1137369684
361	0.1136514404
362	0.1136087616
363	0.1135580175
364	0.1134746936
365	0.1134641665
366	0.1134462301
367	0.1134176691
368	0.1133508022
369	0.1133255513
370	0.1132239506
371	0.1131911658
372	0.1131341015
373	0.1130709318
374	0.1130507284
375	0.1129773012
376	0.1129206246
377	0.1128752377
378	0.1128491786
379	0.1127870413
380	0.1127363137
381	0.112665751
382	0.1125848051
383	0.1125717062
384	0.1125141695
385	0.1124127891
386	0.1123805246
387	0.1123411032
388	0.1123004759
389	0.1122829868
390	0.1122643669
391	0.1122121703
392	0.1121900167
393	0.1121521306
394	0.1120238139
395	0.1119580218
396	0.1119111029
397	0.1118629889
398	0.111848329
399	0.1118209387
400	0.1117446441
401	0.1117244551
402	0.1116489091
403	0.1116228564
404	0.1115309764
405	0.1114752059
406	0.1114293822
407	0.1113679803
408	0.1113377073
409	0.1112962087
410	0.1111970054
411	0.1111310442
412	0.1110623614
413	0.1110008272
414	0.1109428823
415	0.1108944204
416	0.1108867564
417	0.1108351354
418	0.1108136511
419	0.1107938146
420	0.1107740865
421	0.1107477866
422	0.1107308169
423	0.1106780137
424	0.1106569605
425	0.1106301565
426	0.1106197921
427	0.1106016299
428	0.1105561082
429	0.1105369016
430	0.110430557
431	0.1103941243
432	0.1103292489
433	0.1102505457
434	0.1102031996
435	0.1101566107
436	0.1101301592
437	0.1100572054
438	0.1100216216
439	0.1099712646
440	0.1099178043
441	0.1098705072
442	0.1098087598
443	0.1097797757
444	0.1097314535
445	0.1097190738
446	0.1096910866
447	0.1096367659
448	0.1096191583
449	0.1095981425
450	0.1095820572
451	0.109409947
452	0.1093968629
453	0.1093411655
454	0.1092566061
455	0.1092309559
456	0.1091689853
457	0.1090722311
458	0.1090309233
459	0.1090141187
460	0.1089535942
461	0.1089422127
462	0.108898511
463	0.1088919855
464	0.1088059013
465	0.1087689782
466	0.1086935259
467	0.1086255412
468	0.1085936341
469	0.1085306427
470	0.1084873504
471	0.1084101743
472	0.1083788461
473	0.1083353341
474	0.1082219034
475	0.1081670088
476	0.1081070914
477	0.1079967227
478	0.1078890395
479	0.1078470205
480	0.1077835429
481	0.1076556869
482	0.1076240678
483	0.1075459523
484	0.1075346704
485	0.1074946732
486	0.1074823497
487	0.1074604164
488	0.1074150676
489	0.107332549
490	0.1073155023
491	0.1073018861
492	0.1072768528
493	0.1072660413
494	0.1071957288
495	0.1071848988
496	0.1070691451
497	0.1069660935
498	0.1069551621
499	0.1069101545
500	0.1068423453
501	0.1067786373
502	0.106760353
503	0.1067421701
504	0.1067298538
505	0.1067201778
506	0.1066944234
507	0.1066042919
508	0.1065512296
509	0.1065195326
510	0.1064960215
511	0.1064749297
512	0.1064237672
513	0.1064052744
514	0.1063799659
515	0.1062854052
516	0.1062754892
517	0.106180947
518	0.1061220719
519	0.1061081403
520	0.1060309426
521	0.1059413365
522	0.1059257901
523	0.1059183134
524	0.1059164075
525	0.1058846462
526	0.1058318534
527	0.105801567
528	0.1057907533
529	0.1057664011
530	0.1057334316
531	0.1057293591
532	0.1056907934
533	0.1056462544
534	0.1055752171
535	0.1055542235
536	0.1055483022
537	0.1055318427
538	0.1054398852
539	0.1054305944
540	0.1054287856
541	0.1054209774
542	0.1053919091
543	0.1053189179
544	0.105302199
545	0.105283974
546	0.1052564206
547	0.1051880129
548	0.1050780516
549	0.1050269845
550	0.1049965083
551	0.1049526616
552	0.1049207955
553	0.1048880691
554	0.1048371173
555	0.1048106103
556	0.1047213263
557	0.1047117274
558	0.1047050182
559	0.1046556092
560	0.1046172681
561	0.104580784
562	0.1045592482
563	0.1045462254
564	0.1045242428
565	0.1044804494
566	0.1044501962
567	0.1044316036
568	0.104393688
569	0.1043377183
570	0.1042554883
571	0.1042310847
572	0.1042031046
573	0.1041651147
574	0.104153378
575	0.1041294413
576	0.1041041216
577	0.1040311944
578	0.1040040771
579	0.1039935787
580	0.1038847827
581	0.1038725602
582	0.1037621551
583	0.1036997157
584	0.1036882757
585	0.103666129
586	0.1036203428
587	0.1035662878
588	0.1035439753
589	0.1035163923
590	0.1035064008
591	0.1034793358
592	0.1033648686
593	0.1033089715
594	0.1032743008
595	0.1032402567
596	0.1031902552
597	0.1031462989
598	0.1030996846
599	0.1030416309
600	0.1030216272
601	0.1029742073
602	0.1029496545
603	0.1029080886
604	0.1028544091
605	0.1028527677
606	0.1028204468
607	0.1028130593
608	0.1027819438
609	0.1027479388
610	0.1027300091
611	0.1026620098
612	0.1026088365
613	0.1025825587
614	0.1025722409
615	0.1025699143
616	0.1025337516
617	0.1025312871
618	0.1025008209
619	0.1024992036
620	0.1024714645
621	0.1024382305
622	0.1024324744
623	0.102375495
624	0.1023675403
625	0.1023328091
626	0.1022393966
627	0.1022023624
628	0.1021813431
629	0.1021423406
630	0.1021402254
631	0.1021104026
632	0.1020879671
633	0.1020320188
634	0.1020113945
635	0.1020057657
636	0.1019770359
637	0.1019686794
638	0.1019634128
639	0.101944568
640	0.1019163495
641	0.1018732956
642	0.1018137725
643	0.1017959391
644	0.1017894192
645	0.1017301798
646	0.1016723371
647	0.1016218418
648	0.1015707833
649	0.1015454986
650	0.101528851
651	0.1015058861
652	0.1014971195
653	0.1014345755
654	0.1014194459
655	0.1013899579
656	0.1013730228
657	0.1013540749
658	0.1013303028
659	0.1012818048
660	0.1012559268
661	0.1012387315
662	0.1012051025
663	0.1011934147
664	0.1011531965
665	0.1011164353
666	0.1010735972
667	0.1010071773
668	0.10097401
669	0.1009390583
670	0.1009079994
671	0.1008989537
672	0.1008118856
673	0.1008028634
674	0.1007949646
675	0.1007790005
676	0.1007310828
677	0.1007088669
678	0.1007015387
679	0.100653561
680	0.1006235592
681	0.1006140208
682	0.1005627364
683	0.1005421368
684	0.1005268081
685	0.1005192064
686	0.1004821948
687	0.1004363342
688	0.1003426835
689	0.1003222109
690	0.1002999971
691	0.100295105
692	0.1001870304
693	0.1001552184
694	0.100065159
695	0.1000606771
696	0.1000315888
697	0.1000084792
698	0.09995415633
699	0.09986232743
700	0.0998361876
701	0.09982769068
702	0.09979284446
703	0.09971484325
704	0.09969315327
705	0.09968545682
706	0.09965124677
707	0.099646744
708	0.09962496442
709	0.09962281398
710	0.09960758698
711	0.09955812009
712	0.09950632068
713	0.09946187563
714	0.09942274736
715	0.09941481253
716	0.0993720067
717	0.09935341209
718	0.09934535419
719	0.09930899624
720	0.09925328881
721	0.09924608697
722	0.09923139308
723	0.09918595802
724	0.09910667719
725	0.09907853695
726	0.09902764958
727	0.09894631595
728	0.09889070617
729	0.09884732835
730	0.09876419364
731	0.09870298217
732	0.09868516231
733	0.09867429422
734	0.09865296977
735	0.09864219679
736	0.09860010249
737	0.09853652196
738	0.09852167954
739	0.0985148595
740	0.09850842056
741	0.0985010358
742	0.09846954425
743	0.09840768272
744	0.09839709193
745	0.09838246731
746	0.0983689639
747	0.0983268894
748	0.09832123247
749	0.09828128301
750	0.0982724622
751	0.09824998423
752	0.09822134844
753	0.09820475173
754	0.0981354753
755	0.09813130581
756	0.09808544863
757	0.09802848182
758	0.09800089194
759	0.09792207659
760	0.0978427898
761	0.09781437071
762	0.09780278217
763	0.09779994513
764	0.09776409323
765	0.09774748853
766	0.09768627484
767	0.09767929772
768	0.09766411377
769	0.09763061974
770	0.09755174429
771	0.09752581205
772	0.09749554966
