iter	Passed	Remaining
0	24	121208
1	52	132429
2	82	136772
3	111	139430
4	141	141543
5	173	144155
6	202	144470
7	235	146763
8	263	145983
9	291	145265
10	317	144146
11	348	144811
12	377	144628
13	405	144520
14	437	145286
15	464	144586
16	492	144484
17	521	144379
18	549	144160
19	579	144195
20	611	144922
21	639	144697
22	666	144320
23	695	144157
24	724	144128
25	753	144167
26	780	143831
27	808	143606
28	839	143894
29	866	143620
30	896	143763
31	925	143727
32	954	143657
33	987	144225
34	1013	143772
35	1040	143462
36	1066	143108
37	1095	143097
38	1127	143372
39	1155	143225
40	1184	143306
41	1214	143326
42	1244	143418
43	1271	143217
44	1299	143089
45	1325	142749
46	1356	142916
47	1384	142805
48	1413	142829
49	1443	142953
50	1474	143063
51	1500	142762
52	1529	142761
53	1558	142760
54	1588	142793
55	1620	143039
56	1645	142731
57	1670	142367
58	1701	142500
59	1727	142251
60	1757	142334
61	1786	142287
62	1817	142431
63	1845	142316
64	1875	142381
65	1906	142534
66	1937	142658
67	1963	142396
68	1991	142290
69	2019	142226
70	2046	142090
71	2074	142012
72	2105	142101
73	2133	142013
74	2163	142091
75	2192	142052
76	2220	141977
77	2246	141779
78	2273	141645
79	2299	141447
80	2328	141425
81	2357	141372
82	2384	141278
83	2414	141329
84	2443	141315
85	2470	141157
86	2499	141132
87	2527	141093
88	2558	141177
89	2588	141206
90	2619	141308
91	2648	141286
92	2676	141223
93	2706	141255
94	2733	141150
95	2765	141282
96	2793	141196
97	2823	141216
98	2851	141174
99	2879	141111
100	2907	141051
101	2940	141204
102	2969	141193
103	2999	141229
104	3027	141154
105	3056	141134
106	3085	141103
107	3113	141041
108	3142	141019
109	3170	140928
110	3198	140871
111	3226	140798
112	3256	140816
113	3279	140579
114	3307	140517
115	3336	140460
116	3365	140474
117	3394	140460
118	3425	140505
119	3452	140393
120	3480	140335
121	3508	140284
122	3536	140229
123	3565	140188
124	3594	140204
125	3625	140252
126	3656	140296
127	3682	140170
128	3710	140096
129	3737	140016
130	3766	139985
131	3794	139930
132	3822	139881
133	3851	139859
134	3878	139777
135	3912	139932
136	3940	139880
137	3970	139895
138	3999	139857
139	4027	139815
140	4057	139809
141	4086	139795
142	4120	139968
143	4147	139853
144	4178	139898
145	4205	139813
146	4235	139822
147	4262	139737
148	4290	139671
149	4319	139679
150	4348	139635
151	4376	139578
152	4405	139563
153	4433	139520
154	4465	139583
155	4492	139484
156	4520	139454
157	4550	139451
158	4579	139432
159	4612	139535
160	4638	139405
161	4665	139332
162	4695	139347
163	4723	139297
164	4753	139302
165	4783	139290
166	4811	139239
167	4838	139178
168	4870	139213
169	4897	139152
170	4925	139095
171	4953	139041
172	4984	139074
173	5014	139073
174	5047	139153
175	5074	139084
176	5103	139075
177	5132	139045
178	5163	139077
179	5195	139113
180	5222	139041
181	5248	138948
182	5277	138909
183	5306	138880
184	5337	138929
185	5365	138864
186	5395	138859
187	5424	138842
188	5452	138790
189	5480	138747
190	5510	138733
191	5538	138698
192	5566	138639
193	5596	138654
194	5627	138667
195	5654	138589
196	5683	138577
197	5714	138602
198	5743	138574
199	5774	138589
200	5802	138547
201	5830	138491
202	5857	138419
203	5885	138366
204	5909	138233
205	5936	138145
